1	Uma população	compreende	os indivíduos de uma espécie dentro de uma dada área	1
2	limites geográficos de um hábitat	impostas	pêlos	0
3	os indivíduos	vivem de	dentro suas fronteiras geográficas	0
3	a população	tem	uma estrutura espacial	1
3	a população	tem uma estrutura espacial		0
4	A estrutura de a população	proporciona	uma visão rápida	1
4	A estrutura de a população	proporciona uma visão rápida em	um determinado instante de tempo	1
5	As populações	apresentam	comportamento dinâmico	1
6	A regulação de esse processos	depende de	várias interações de indivíduos	1
6	A regulação de esse processos	depende com	os seus ambientes e entre si	0
9	indivíduos	são	descendentes de outros	1
9	A população	tem	continuidade temporal	1
9	indivíduos	estão	vivos	1
9	indivíduos	estão vivos em	um determinado tempo	1
10	A população	tem	seu ancestral comum	1
11	os indivíduos dentro de uma população	herdam	seus genes de um depósito comum	1
13	A distribuição e os movimentos de indivíduos	determinam	a coerência espacial de a população - o grau	0
13	A distribuição e os movimentos de indivíduos	determinam a coerência espacial de a população - o grau a	mesma dinâmica	0
13	A distribuição e os movimentos de indivíduos	determinam a coerência espacial de a população - o grau por	outro lado	0
14	os humanos	transformam	as questões de coerência populacional	1
14	a vulnerabilidade de pequenas	subpopulações a	a extinção ou a a mudança genética drástica	0
16	A maioria de as populações insulares	passa por	estágios iniciais de colonização caracterizados	1
16	A maioria de as populações insulares	passa por	pequeno número de indivíduos	1
17	os ecólogos	devem em	as grandes	0
17	Devido a os eventos de acaso	terem	impacto maior em as pequenas populações	0
18	os indivíduos	podem	variar em relação a o género	1
19	A evolução	ocorre	quando diferenças genéticas entre indivíduos resultam em diferentes taxas de nascimento ou de morte	1
19	diferenças genéticas entre indivíduos	resultam em	diferentes taxas de nascimento ou de morte	1
20	A razão sexual e a estrutura de idade	influenciam	a dinâmica populacional	1
21	as populações	mudam a	o longo de o tempo	1
21	Estes aspectos de a estrutura populacional	são	uma parte importante de a nossa compreensão de como as populações	0
21	Estes aspectos de a estrutura populacional	são uma parte importante de a nossa compreensão de como as populações por	isso	0
22	A estrutura espacial de uma população	tem	três propriedades principais : distribuição dispersão e densidade	1
23	A distribuição de uma população	descreve	a sua abrangência geográfica e ecológica	1
23	A distribuição de uma população	descreve a sua abrangência geográfica e ecológica		0
25	a maple-de-açúcar	desenvolveu se em	a América de o Norte	1
27	160 estorninhos europeus	foram	soltos	1
27	160 estorninhos europeus	foram soltos Por	exemplo	0
27	160 estorninhos europeus	foram soltos em	o Central Park	1
27	160 estorninhos europeus	foram soltos em	a cidade de New York	1
28	a população	expandiu se Em	60 anos	1
28	a população	expandiu se para	cobrir mais de 7,7 milhões de quilómetros quadrados e abranger o país de costa a costa	1
29	Os hábitats ocupados pêlos estorninhos em a América de o Norte	assemelham se a	os hábitats de preferência em a Europa	1
30	Fatores ecológicos súbitos	é	colonizadora	0
30	o aca-só	determinam	o resultado de as introduções	0
31	ele	se estabelecesse	York	0
31	ele	se estabelecesse York em	New	0
32	os indivíduos	vivem em	um habitat	1
35	O clima	exercem	influência progressivamente mais refinada	1
37	A variedade riehlii	ocorre em	o município de Jefferson	1
38	a Clematis	fremontii	está restrita a os solos rochosos e secos de os afloramentos de calcário	0
40	Agregados locais ocorrendo dentro de cada um de esse locais	consistem em	muitos indivíduos distribuídos mais ou menos uniformemente	1
40	Agregados locais	ocorrendo de	cada um de esse locais	0
41	sua distribuição local	reflete	súbitas variações de habitat	0
41	os indivíduos	usam	algumas partes de seus territórios mais	1
41	Eremophila	alpestris	um pequeno pássaro canoro de campos	0
42	eles	ocupam	todas as áreas	1
42	eles	ocupam todas as áreas durante	seus ciclos de vida	1
42	As distribuições de populações	incluem	todas as áreas	1
43	a abrangência geográfica de o salmão	inclui não	não apenas os rios	0
43	a abrangência geográfica de o salmão	inclui não não apenas os rios de	este modo	0
43	os indivíduos	crescem até	a maturidade	1
44	Muitos pássaros	realizam	migrações anuais em direção	0
45	a abrangência de a blackburnian warbler	situa se	Central e norte de a América de o Sul	0
45	a abrangência de a blackburnian warbler	situa se Central e norte de a América de o Sul de	este modo	0
45	a abrangência de a blackburnian warbler	situa se Central e norte de a América de o Sul durante	o verão	0
45	a abrangência de a blackburnian warbler	situa se Central e norte de a América de o Sul em	inteiramente a América	0
45	a abrangência de a blackburnian warbler	situa se Central e norte de a América de o Sul durante	o inverno	0
46	O tamanho e as variações de ano para ano de a população de essas espécies migratórias	dependem de	as interações de os indivíduos	1
46	O tamanho e as variações de ano para ano de a população de essas espécies migratórias	dependem com	seus ambientes a o longo de todo o ano	0
47	as populações de espécies migratórias	se reproduzem em	as florestas de o leste de a América de o Norte ou de a Europa	1
48	os pontilhados	indicam	registros de aves	1
48	os pontilhados	indicam registros de aves em	os invernos precedentes	1
48	As áreas sombreadas	representam	as áreas de procriação	1
49	A população	habita	o país inteiro	1
50	o Brasil	tem	uma área de aproximadamente 8,5 milhões de quilómetros quadrados	0
50	o Brasil	tem uma área de aproximadamente 8,5 milhões de quilómetros quadrados Para	comparação	0
52	formando padrões	variam de	a	0
52	a dispersão	caracteriza	não contínuos	1
52	a dispersão	caracteriza não contínuos Na	distribuição de uma população	1
52	a dispersão	caracteriza não contínuos até	distribuições homogéneas	1
53	a dispersão aleatória	encontra se Entre	estes extremos	1
54	Os padrões de distribuição homogénea e agrupada	derivam de	processos diferentes	1
55	Um espaçamento	uniforme	surge comu-mente de interações diretas entre indivíduos	1
55	Um espaçamento	uniforme surge comu-mente de interações diretas entre indivíduos a	as vezes	0
56	A manutenção de uma distância mínima entre cada espécime e seu vizinho mais próximo	resulta em	um espaçamento uniforme	1
56	A manutenção de uma distância mínima entre cada espécime e seu vizinho mais próximo	resulta por	exemplo	0
56	A manutenção de uma distância mínima entre cada espécime e seu vizinho mais próximo	resulta em	suas colónias abarrotadas	1
56	as aves marinhas	colocam	seus ninhos exatamente onde	0
57	a vizinhos maiores	sofrem	os efeitos de o sombreamento e competição de raízes	0
57	os vizinhos	morrem	a medida	0
